Unnamed: 0,uid,iid,ts
122,278,97,1385874000.0
123,280,20,1386046800.0
124,283,17,1386219600.0
125,286,39,1386478800.0
126,288,39,1386651600.0
127,291,0,1386824400.0
128,292,63,1386824400.0
129,304,106,1387170000.0
130,305,85,1387170000.0
131,306,78,1387170000.0
132,307,27,1387170000.0
133,312,44,1387429200.0
134,314,34,1387429200.0
135,316,77,1387429200.0
136,319,34,1387429200.0
137,323,115,1387602000.0
138,324,78,1387602000.0
139,326,3,1387774800.0
140,330,118,1387947600.0
141,332,106,1387947600.0
142,333,17,1387947600.0
143,340,123,1388293200.0
144,341,63,1388293200.0
145,342,102,1388293200.0
146,343,21,1388293200.0
147,344,73,1388293200.0
148,345,124,1388293200.0
149,349,44,1388552400.0
150,350,126,1388552400.0
151,351,97,1388552400.0
152,352,77,1388638800.0
153,33,77,1388638800.0
154,354,105,1388725200.0
155,355,17,1388725200.0
156,357,80,1388725200.0
157,359,31,1388811600.0
158,361,107,1388811600.0
159,362,97,1388811600.0
160,364,127,1388811600.0
161,365,30,1388898000.0
162,366,21,1388898000.0
163,370,0,1389070800.0
164,373,130,1389070800.0
165,377,49,1389243600.0
166,379,36,1389330000.0
167,383,130,1389330000.0
168,384,78,1389416400.0
169,388,45,1389502800.0
170,391,85,1389589200.0
171,394,122,1389675600.0
172,230,23,1389848400.0
173,397,131,1389848400.0
174,398,122,1389848400.0
175,402,81,1390021200.0
176,403,136,1390021200.0
177,405,21,1390021200.0
178,406,24,1390021200.0
179,407,124,1390107600.0
180,408,113,1390107600.0
181,410,0,1390194000.0
182,411,77,1390280400.0
183,412,78,1390366800.0
184,414,136,1390453200.0
185,416,137,1390539600.0
186,417,107,1390539600.0
187,421,136,1390798800.0
188,423,0,1390798800.0
189,425,139,1390885200.0
190,426,140,1390885200.0
191,427,92,1390885200.0
192,428,124,1390885200.0
193,431,17,1390971600.0
194,436,105,1391144400.0
195,437,143,1391230800.0
196,442,113,1391490000.0
197,445,105,1391576400.0
198,446,33,1391576400.0
199,447,106,1391749200.0
200,449,144,1391835600.0
201,450,78,1391835600.0
202,453,126,1391835600.0
203,454,147,1391922000.0
204,455,113,1392008400.0
205,456,17,1392267600.0
206,460,99,1392354000.0
207,463,140,1392440400.0
208,464,136,1392440400.0
209,465,149,1392526800.0
210,468,92,1392872400.0
211,472,94,1392958800.0
212,473,45,1393045200.0
213,474,33,1393131600.0
214,475,20,1393131600.0
215,476,102,1393131600.0
216,477,153,1393131600.0
217,478,29,1393131600.0
218,479,11,1393131600.0
219,481,11,1393218000.0
220,485,9,1393390800.0
221,486,126,1393390800.0
222,488,145,1393477200.0
223,489,78,1393477200.0
224,490,33,1393650000.0
225,494,17,1393736400.0
226,496,158,1393736400.0
227,498,159,1393995600.0
228,503,72,1394168400.0
229,504,97,1394168400.0
230,508,80,1394341200.0
231,510,30,1394424000.0
232,511,40,1394424000.0
233,517,29,1394510400.0
234,521,125,1394596800.0
235,524,48,1394683200.0
236,526,54,1394769600.0
237,527,145,1394769600.0
238,529,160,1394856000.0
239,532,89,1394942400.0
240,533,126,1395115200.0
241,541,136,1395374400.0
242,542,113,1395460800.0
243,531,166,1395547200.0
244,544,105,1395633600.0
245,546,30,1395720000.0
246,549,159,1395979200.0
247,552,125,1396065600.0
248,553,36,1396152000.0
249,554,136,1396238400.0
250,561,130,1396411200.0
251,565,125,1396584000.0
252,566,0,1396584000.0
253,568,130,1396584000.0
254,582,42,1397275200.0
255,588,122,1397534400.0
256,589,78,1397620800.0
257,593,122,1397707200.0
258,594,158,1397793600.0
259,602,178,1398139200.0
260,603,144,1398225600.0
261,605,117,1398225600.0
262,609,24,1398312000.0
263,611,125,1398312000.0
264,613,50,1398484800.0
265,614,145,1398484800.0
266,620,180,1398744000.0
267,622,152,1398830400.0
268,625,60,1398830400.0
269,628,63,1399176000.0
270,629,184,1399262400.0
271,630,125,1399262400.0
272,631,185,1399262400.0
273,637,187,1399608000.0
274,640,189,1399694400.0
275,643,172,1399867200.0
276,645,182,1399953600.0
277,646,85,1399953600.0
278,648,45,1400040000.0
279,653,34,1400385600.0
280,654,182,1400385600.0
281,655,21,1400385600.0
282,658,125,1400472000.0
283,659,39,1400472000.0
284,661,105,1400644800.0
285,662,146,1400644800.0
286,663,5,1400644800.0
287,665,130,1400731200.0
288,666,34,1400904000.0
289,671,172,1401163200.0
290,672,125,1401249600.0
291,673,175,1401336000.0
292,674,20,1401336000.0
293,675,122,1401336000.0
294,676,125,1401422400.0
295,302,85,1401508800.0
296,441,191,1401595200.0
297,680,130,1401681600.0
298,682,185,1401681600.0
299,686,130,1401854400.0
300,687,197,1401854400.0
301,688,115,1401854400.0
302,700,11,1402372800.0
303,701,201,1402459200.0
304,702,126,1402459200.0
305,707,17,1402632000.0
306,708,20,1402632000.0
307,716,44,1402977600.0
308,717,30,1402977600.0
309,719,204,1403064000.0
310,720,97,1403064000.0
311,722,77,1403064000.0
312,725,163,1403236800.0
313,726,105,1403236800.0
314,727,63,1403323200.0
315,728,58,1403323200.0
316,730,206,1403496000.0
317,7,77,1403496000.0
318,702,97,1403582400.0
319,731,21,1403582400.0
320,732,207,1403668800.0
321,744,107,1404273600.0
322,747,191,1404273600.0
323,749,211,1404360000.0
324,752,33,1404360000.0
325,753,75,1404532800.0
326,755,213,1404532800.0
327,756,113,1404532800.0
328,757,31,1404619200.0
329,758,115,1404619200.0
330,760,115,1404619200.0
331,762,44,1404705600.0
332,763,214,1404705600.0
333,766,215,1404792000.0
334,767,122,1404878400.0
335,775,24,1405051200.0
336,776,21,1405224000.0
337,780,3,1405396800.0
338,781,216,1405396800.0
339,782,17,1405483200.0
340,785,115,1405569600.0
341,786,136,1405569600.0
342,787,139,1405569600.0
343,788,217,1405569600.0
344,789,218,1405569600.0
345,790,78,1405656000.0
346,791,105,1405742400.0
347,795,42,1405915200.0
348,797,136,1406001600.0
349,802,209,1406174400.0
350,804,223,1406260800.0
351,808,125,1406347200.0
352,809,21,1406433600.0
353,814,201,1406520000.0
354,818,204,1406606400.0
355,819,125,1406606400.0
356,368,106,1406692800.0
357,821,209,1406692800.0
358,822,39,1406779200.0
359,825,48,1406865600.0
360,827,174,1407124800.0
361,828,34,1407124800.0
362,829,153,1407124800.0
363,830,92,1407211200.0
364,831,201,1407211200.0
365,832,153,1407211200.0
366,833,191,1407297600.0
367,838,21,1407384000.0
368,843,145,1407470400.0
369,844,113,1407470400.0
370,846,45,1407556800.0
371,848,229,1407556800.0
372,133,225,1407643200.0
373,849,136,1407643200.0
374,851,63,1407643200.0
375,855,34,1407729600.0
376,857,217,1407816000.0
377,858,126,1407816000.0
378,859,65,1407902400.0
379,865,159,1408161600.0
380,868,232,1408248000.0
381,869,125,1408334400.0
382,870,119,1408334400.0
383,872,234,1408420800.0
384,873,42,1408507200.0
385,874,54,1408507200.0
386,876,130,1408507200.0
387,879,145,1408593600.0
388,881,235,1408593600.0
389,882,163,1408680000.0
390,884,29,1408766400.0
391,496,115,1408766400.0
392,888,215,1408766400.0
393,889,70,1408852800.0
394,890,6,1408852800.0
395,891,209,1408852800.0
396,892,201,1408939200.0
397,893,81,1409025600.0
398,894,128,1409025600.0
399,896,76,1409112000.0
400,578,217,1409112000.0
401,898,119,1409198400.0
402,905,211,1409371200.0
403,906,217,1409371200.0
404,911,16,1409544000.0
405,917,236,1409630400.0
406,922,213,1409716800.0
407,923,21,1409889600.0
408,925,34,1409976000.0
409,926,205,1409976000.0
410,907,242,1409976000.0
411,928,243,1410062400.0
412,929,216,1410148800.0
413,930,31,1410235200.0
414,931,244,1410321600.0
415,932,245,1410321600.0
416,940,236,1410494400.0
417,943,166,1410580800.0
418,946,247,1410580800.0
419,947,0,1410580800.0
420,949,104,1410580800.0
421,950,247,1410667200.0
422,951,92,1410667200.0
423,957,159,1410840000.0
424,959,81,1410926400.0
425,960,130,1410926400.0
426,962,229,1411099200.0
427,963,229,1411099200.0
428,965,235,1411185600.0
429,968,36,1411272000.0
430,970,250,1411358400.0
431,971,229,1411444800.0
432,972,156,1411444800.0
433,973,247,1411444800.0
434,974,184,1411444800.0
435,977,122,1411444800.0
436,982,194,1411531200.0
437,983,232,1411531200.0
438,984,0,1411531200.0
439,986,9,1411876800.0
440,989,63,1412222400.0
441,991,172,1412308800.0
442,992,34,1412308800.0
443,994,105,1412568000.0
444,997,175,1412740800.0
445,999,211,1412740800.0
446,1000,94,1412827200.0
447,1001,181,1412827200.0
448,1003,80,1412827200.0
449,1006,113,1413000000.0
450,1008,217,1413000000.0
451,1009,0,1413086400.0
452,1011,254,1413086400.0
453,1012,236,1413172800.0
454,1013,92,1413259200.0
455,1014,255,1413259200.0
456,1015,248,1413345600.0
457,1016,256,1413345600.0
458,1017,229,1413345600.0
459,1018,257,1413432000.0
460,1019,191,1413432000.0
461,1022,257,1413518400.0
462,1025,259,1413604800.0
463,270,212,1413691200.0
464,1028,92,1413691200.0
465,743,232,1413691200.0
466,1035,94,1413777600.0
467,1040,244,1414036800.0
468,1041,20,1414036800.0
469,1042,261,1414036800.0
470,1043,213,1414036800.0
471,1044,229,1414123200.0
472,60,105,1414123200.0
473,459,153,1414123200.0
474,1049,189,1414209600.0
475,1050,30,1414209600.0
476,1051,250,1414209600.0
477,294,246,1414296000.0
478,1054,153,1414382400.0
479,1055,153,1414382400.0
480,1056,118,1414382400.0
481,1057,229,1414468800.0
482,891,242,1414555200.0
483,1059,235,1414555200.0
484,1062,97,1414814400.0
485,1069,186,1414990800.0
486,1076,266,1415250000.0
487,1078,31,1415250000.0
488,1081,17,1415336400.0
489,1082,168,1415336400.0
490,1083,267,1415422800.0
491,1084,9,1415509200.0
492,1085,262,1415509200.0
493,1086,63,1415509200.0
494,1089,77,1415595600.0
495,1090,42,1415595600.0
496,1092,153,1415768400.0
497,1093,158,1415768400.0
498,1095,54,1415768400.0
499,1096,167,1415768400.0
500,1097,167,1415768400.0
501,1100,271,1416027600.0
502,1103,182,1416114000.0
503,1104,20,1416114000.0
504,1105,11,1416200400.0
505,1107,240,1416200400.0
506,1108,229,1416286800.0
507,1043,146,1416373200.0
508,1110,66,1416373200.0
509,1111,115,1416373200.0
510,1113,107,1416459600.0
511,1119,236,1416891600.0
512,1126,273,1417064400.0
513,1129,149,1417150800.0
514,1130,99,1417237200.0
515,1131,182,1417237200.0
516,1135,214,1417237200.0
517,1138,170,1417410000.0
518,1140,256,1417410000.0
519,1143,8,1417582800.0
520,1148,136,1417842000.0
521,1149,153,1417842000.0
522,1151,81,1417928400.0
523,1156,115,1418014800.0
524,1157,105,1418101200.0
525,898,241,1418101200.0
526,1158,136,1418101200.0
527,800,149,1418274000.0
528,1160,280,1418274000.0
529,1161,113,1418274000.0
530,1164,280,1418360400.0
531,1165,281,1418360400.0
532,23,280,1418360400.0
533,1167,280,1418360400.0
534,1169,282,1418360400.0
535,1171,71,1418360400.0
536,1175,280,1418533200.0
537,1178,217,1418619600.0
538,484,284,1418619600.0
539,1181,124,1418706000.0
540,1184,20,1418878800.0
541,1186,241,1418965200.0
542,1187,217,1418965200.0
543,1188,223,1419051600.0
544,1189,286,1419051600.0
545,1192,276,1419138000.0
546,1196,288,1419310800.0
547,1200,280,1419310800.0
548,1201,280,1419310800.0
549,1202,105,1419397200.0
550,1206,244,1419483600.0
551,1208,282,1419483600.0
552,1210,289,1419570000.0
553,1211,286,1419570000.0
554,1214,122,1419656400.0
555,1217,291,1419742800.0
556,1220,280,1419829200.0
557,1222,292,1419915600.0
558,377,259,1419915600.0
559,978,144,1420088400.0
560,1225,137,1420088400.0
561,1226,236,1420088400.0
562,1230,266,1420174800.0
563,1232,99,1420261200.0
564,1235,92,1420261200.0
565,1244,156,1420434000.0
566,1246,244,1420520400.0
567,1247,11,1420693200.0
568,1251,36,1420779600.0
569,1253,235,1420866000.0
570,1255,266,1421038800.0
571,1256,296,1421038800.0
572,1257,105,1421038800.0
573,1258,257,1421125200.0
574,1265,224,1421211600.0
575,1268,124,1421298000.0
576,1270,241,1421298000.0
577,1272,124,1421384400.0
578,1273,88,1421384400.0
579,1275,286,1421384400.0
580,1280,66,1421470800.0
581,1281,77,1421643600.0
582,1283,45,1421643600.0
583,780,280,1421730000.0
584,370,9,1421816400.0
585,1288,244,1421902800.0
586,1289,229,1421902800.0
587,1294,104,1421902800.0
588,1296,301,1422075600.0
589,1297,97,1422075600.0
590,1298,124,1422075600.0
591,1303,83,1422162000.0
592,1304,201,1422162000.0
593,1308,172,1422162000.0
594,1309,292,1422248400.0
595,1311,217,1422334800.0
596,1312,303,1422334800.0
597,1313,92,1422334800.0
598,1314,167,1422334800.0
599,1316,160,1422334800.0
600,1317,124,1422334800.0
601,1319,123,1422421200.0
602,1320,105,1422421200.0
603,1323,224,1422507600.0
604,1324,99,1422507600.0
605,1326,304,1422507600.0
606,1331,140,1422766800.0
607,1334,305,1422766800.0
608,1335,306,1422766800.0
609,1336,307,1422853200.0
610,1337,308,1422853200.0
611,1340,54,1422939600.0
612,1341,232,1423026000.0
613,1343,51,1423026000.0
614,1344,240,1423112400.0
615,1345,262,1423112400.0
616,1346,193,1423112400.0
617,1348,105,1423198800.0
618,1350,216,1423285200.0
619,1351,136,1423285200.0
620,1352,300,1423371600.0
621,1354,172,1423371600.0
622,1355,139,1423371600.0
623,1356,124,1423371600.0
624,1357,11,1423371600.0
625,1358,244,1423371600.0
626,717,191,1423458000.0
627,1360,115,1423458000.0
628,1363,311,1423544400.0
629,1365,92,1423544400.0
630,1367,310,1423630800.0
631,1369,105,1423630800.0
632,854,308,1423630800.0
633,1371,302,1423717200.0
634,1374,107,1423803600.0
635,1375,310,1423890000.0
636,1376,105,1423890000.0
637,1377,288,1423890000.0
638,1378,313,1423890000.0
639,1379,310,1423890000.0
640,1380,280,1423890000.0
641,1382,31,1423890000.0
642,1383,159,1423976400.0
643,1386,235,1424149200.0
644,1387,316,1424149200.0
645,1389,310,1424235600.0
646,1392,205,1424235600.0
647,1393,317,1424322000.0
648,1394,215,1424322000.0
649,1396,60,1424408400.0
650,1398,272,1424494800.0
651,1399,243,1424494800.0
652,1400,78,1424494800.0
653,1402,46,1424581200.0
654,1403,147,1424581200.0
655,1404,319,1424581200.0
656,1241,307,1424667600.0
657,1102,320,1424754000.0
658,1408,321,1424840400.0
659,1409,153,1424840400.0
660,1411,320,1424926800.0
661,1412,158,1424926800.0
662,1414,217,1424926800.0
663,1415,54,1424926800.0
664,1416,288,1424926800.0
665,1417,286,1425013200.0
666,1419,172,1425013200.0
667,1420,167,1425013200.0
668,1425,179,1425186000.0
669,1427,159,1425272400.0
670,1428,92,1425272400.0
671,1430,324,1425358800.0
672,1432,295,1425358800.0
673,84,319,1425531600.0
674,877,316,1425531600.0
675,1434,42,1425531600.0
676,1438,323,1425704400.0
677,1444,328,1425873600.0
678,1445,241,1425873600.0
679,1446,279,1425873600.0
680,1447,247,1425873600.0
681,1449,314,1425960000.0
682,1450,52,1426046400.0
683,1455,167,1426132800.0
684,1457,125,1426219200.0
685,1460,286,1426305600.0
686,1463,333,1426392000.0
687,1465,3,1426392000.0
688,1468,22,1426478400.0
689,1471,191,1426651200.0
690,915,9,1426651200.0
691,1475,251,1426737600.0
692,1476,336,1426737600.0
693,1477,308,1426824000.0
694,1479,337,1426824000.0
695,1480,323,1426824000.0
696,1402,158,1426996800.0
697,1485,325,1427169600.0
698,1486,292,1427169600.0
699,1487,165,1427256000.0
700,1488,117,1427256000.0
701,1489,312,1427256000.0
702,1490,272,1427256000.0
703,1491,126,1427256000.0
704,1492,319,1427428800.0
705,1493,340,1427428800.0
706,1497,297,1427601600.0
707,1500,335,1427601600.0
708,1501,298,1427601600.0
709,1502,324,1427688000.0
710,1503,341,1427774400.0
711,1506,257,1427774400.0
712,1509,314,1427860800.0
713,1510,302,1427947200.0
714,1511,337,1427947200.0
715,1512,286,1427947200.0
716,1109,167,1428033600.0
717,1513,286,1428033600.0
718,1514,38,1428033600.0
719,1517,224,1428120000.0
720,1519,297,1428120000.0
721,1520,201,1428120000.0
722,395,39,1428206400.0
723,1522,342,1428206400.0
724,1524,94,1428292800.0
725,1525,54,1428292800.0
726,1526,105,1428379200.0
727,1532,282,1428638400.0
728,1539,224,1428724800.0
729,1540,162,1428811200.0
730,1542,204,1428984000.0
731,1546,346,1429156800.0
732,1547,302,1429156800.0
733,739,348,1429156800.0
734,1548,166,1429243200.0
735,1549,135,1429329600.0
736,1550,295,1429329600.0
737,1551,334,1429416000.0
738,1553,329,1429502400.0
739,1554,349,1429502400.0
740,1558,0,1429675200.0
741,725,145,1429761600.0
742,1561,350,1429761600.0
743,1562,228,1429761600.0
744,1566,204,1429848000.0
745,1569,63,1429934400.0
746,1570,72,1429934400.0
747,1571,259,1429934400.0
748,1573,80,1429934400.0
749,1575,209,1429934400.0
750,1576,319,1430020800.0
751,1580,353,1430193600.0
752,1582,314,1430280000.0
753,1584,334,1430280000.0
754,1585,99,1430366400.0
755,1587,356,1430452800.0
756,1588,273,1430452800.0
757,96,233,1430539200.0
758,1593,356,1430625600.0
759,1595,99,1430625600.0
760,1596,314,1430712000.0
761,1597,137,1430712000.0
762,454,294,1430884800.0
763,1607,288,1431057600.0
764,1610,359,1431230400.0
765,1612,217,1431230400.0
766,1613,149,1431316800.0
767,1614,294,1431316800.0
768,1615,273,1431316800.0
769,1616,286,1431316800.0
770,1617,204,1431403200.0
771,1618,294,1431489600.0
772,1621,360,1431662400.0
773,1623,136,1431662400.0
774,1625,238,1431748800.0
775,1631,239,1431921600.0
776,1633,97,1432008000.0
777,729,102,1432008000.0
778,1636,361,1432094400.0
779,1639,63,1432180800.0
780,1644,127,1432267200.0
781,1646,241,1432353600.0
782,1656,217,1432699200.0
783,1659,336,1432785600.0
784,1664,229,1432872000.0
785,1667,294,1432958400.0
786,1668,316,1432958400.0
787,1669,368,1432958400.0
788,1670,92,1432958400.0
789,1671,235,1432958400.0
790,1674,370,1433044800.0
791,1675,324,1433217600.0
792,1677,240,1433217600.0
793,1678,162,1433217600.0
794,1680,276,1433304000.0
795,1681,105,1433390400.0
796,1683,353,1433563200.0
797,1686,346,1433736000.0
798,1687,373,1433822400.0
799,1689,251,1433822400.0
800,1691,214,1433822400.0
801,1693,375,1433822400.0
802,86,376,1433908800.0
803,1699,130,1433995200.0
804,1707,361,1434254400.0
805,1709,125,1434340800.0
806,1710,300,1434340800.0
807,1712,378,1434513600.0
808,1717,382,1434686400.0
809,1720,383,1434686400.0
810,1722,384,1434859200.0
811,1725,91,1434859200.0
812,1729,201,1434945600.0
813,1730,306,1434945600.0
814,1731,48,1434945600.0
815,1733,209,1435032000.0
816,1735,18,1435032000.0
817,1739,52,1435118400.0
818,1741,159,1435204800.0
819,1745,106,1435204800.0
820,1747,324,1435291200.0
821,1748,31,1435291200.0
822,1751,389,1435464000.0
823,1752,77,1435464000.0
824,1753,214,1435550400.0
825,1756,175,1435636800.0
826,1761,195,1435723200.0
827,1762,125,1435723200.0
828,1763,392,1435723200.0
829,1766,390,1435982400.0
830,1767,351,1435982400.0
831,1768,153,1435982400.0
832,1769,9,1435982400.0
833,1776,201,1436068800.0
834,1777,201,1436068800.0
835,1781,308,1436155200.0
836,1309,251,1436241600.0
837,1787,328,1436328000.0
838,936,223,1436414400.0
839,1790,94,1436414400.0
840,1791,241,1436414400.0
841,1793,251,1436414400.0
842,1798,337,1436673600.0
843,1799,378,1436673600.0
844,1800,400,1436673600.0
845,1802,279,1436760000.0
846,1803,328,1436760000.0
847,1805,159,1436760000.0
848,1806,390,1436760000.0
849,1812,361,1436932800.0
850,1814,300,1437019200.0
851,1815,92,1437019200.0
852,1817,403,1437105600.0
853,1818,404,1437105600.0
854,1819,105,1437105600.0
855,1820,405,1437192000.0
856,1821,406,1437192000.0
857,1614,359,1437278400.0
858,1824,271,1437278400.0
859,1825,123,1437364800.0
860,917,360,1437364800.0
861,1826,378,1437364800.0
862,1712,405,1437364800.0
863,1827,21,1437451200.0
864,356,385,1437451200.0
865,1829,408,1437537600.0
866,1831,403,1437624000.0
867,1833,346,1437624000.0
868,1834,403,1437710400.0
869,1835,383,1437710400.0
870,719,223,1437710400.0
871,1838,185,1437710400.0
872,1842,339,1437969600.0
873,1844,135,1438056000.0
874,1845,224,1438142400.0
875,1848,316,1438142400.0
876,1852,411,1438228800.0
877,1854,382,1438315200.0
878,1856,257,1438315200.0
879,1859,413,1438488000.0
880,1861,243,1438574400.0
881,1862,68,1438574400.0
882,1865,350,1438660800.0
883,1866,306,1438660800.0
884,1871,383,1438747200.0
885,1872,320,1438833600.0
886,1873,29,1438833600.0
887,1875,240,1438920000.0
888,1877,415,1439006400.0
889,1879,16,1439092800.0
890,1880,416,1439179200.0
891,221,215,1439179200.0
892,1881,404,1439265600.0
893,1888,162,1439352000.0
894,987,251,1439438400.0
895,1889,273,1439438400.0
896,1890,279,1439438400.0
897,1893,48,1439524800.0
898,1895,209,1439524800.0
899,1896,310,1439611200.0
900,1898,130,1439697600.0
901,1901,396,1439870400.0
902,1903,359,1439870400.0
903,1905,256,1439956800.0
904,1906,128,1439956800.0
905,1912,423,1440129600.0
906,1913,368,1440129600.0
907,1914,97,1440129600.0
908,1004,21,1440129600.0
909,1915,314,1440216000.0
910,1916,424,1440216000.0
911,1918,268,1440216000.0
912,1919,333,1440216000.0
913,1920,353,1440216000.0
914,1926,81,1440388800.0
915,1927,288,1440388800.0
916,1929,288,1440388800.0
917,191,295,1440475200.0
918,1931,341,1440475200.0
919,1932,426,1440475200.0
920,1934,412,1440561600.0
921,1936,79,1440561600.0
922,1939,201,1440561600.0
923,1944,387,1440734400.0
924,1945,416,1440820800.0
925,1946,427,1440820800.0
926,1947,428,1440820800.0
927,645,417,1440820800.0
928,1949,108,1440907200.0
929,1950,144,1440907200.0
930,1952,430,1440907200.0
931,1953,411,1440907200.0
932,1954,29,1440907200.0
933,1955,172,1440907200.0
934,1960,146,1441080000.0
935,1963,296,1441166400.0
936,1965,160,1441166400.0
937,1966,431,1441166400.0
938,1974,12,1441252800.0
939,1976,405,1441339200.0
940,1596,125,1441339200.0
941,902,426,1441339200.0
942,1977,339,1441339200.0
943,1980,21,1441425600.0
944,41,426,1441512000.0
945,1984,433,1441512000.0
946,1985,426,1441512000.0
947,1986,434,1441598400.0
948,1988,398,1441598400.0
949,1989,334,1441598400.0
950,1991,31,1441684800.0
951,1993,197,1441771200.0
952,1995,396,1441771200.0
953,1997,356,1441771200.0
954,1998,360,1441771200.0
955,2003,417,1441944000.0
956,2004,334,1442030400.0
957,2011,359,1442116800.0
958,2016,353,1442116800.0
959,2020,20,1442289600.0
960,1204,356,1442376000.0
961,2026,65,1442462400.0
962,2027,324,1442462400.0
963,437,440,1442548800.0
964,2028,38,1442635200.0
965,2030,416,1442635200.0
966,2032,294,1442721600.0
967,2035,121,1442894400.0
968,2037,127,1442894400.0
969,1527,420,1442894400.0
970,1292,442,1442894400.0
971,2040,74,1442980800.0
972,147,170,1443067200.0
973,1474,241,1443067200.0
974,2043,104,1443067200.0
975,2046,346,1443153600.0
976,2047,17,1443240000.0
977,1536,444,1443240000.0
978,2049,130,1443240000.0
979,2053,306,1443326400.0
980,2054,374,1443326400.0
981,2056,229,1443412800.0
982,2064,446,1443585600.0
983,2065,447,1443672000.0
984,2066,424,1443672000.0
985,2067,426,1443672000.0
986,2069,314,1443672000.0
987,2073,319,1443844800.0
988,2005,259,1443844800.0
989,2076,286,1443844800.0
990,2079,186,1443931200.0
991,2080,384,1443931200.0
992,2084,26,1443931200.0
993,2089,137,1444104000.0
994,2090,106,1444104000.0
995,2094,424,1444276800.0
996,2095,424,1444276800.0
997,2096,419,1444276800.0
998,2099,327,1444363200.0
999,2100,67,1444363200.0
1000,2101,415,1444363200.0
1001,2102,314,1444449600.0
1002,2105,135,1444449600.0
1003,2107,167,1444536000.0
1004,2109,294,1444622400.0
1005,2111,34,1444622400.0
1006,2113,38,1444708800.0
1007,2115,329,1444795200.0
1008,2116,324,1444795200.0
1009,2117,144,1444881600.0
1010,2120,105,1444968000.0
1011,2121,87,1445054400.0
1012,2122,295,1445054400.0
1013,2123,159,1445054400.0
1014,699,145,1445054400.0
1015,2124,201,1445054400.0
1016,2127,8,1445140800.0
1017,887,445,1445140800.0
1018,2137,300,1445400000.0
1019,2138,416,1445400000.0
1020,2141,337,1445400000.0
1021,2142,451,1445486400.0
1022,2144,399,1445486400.0
1023,2145,308,1445486400.0
1024,2146,403,1445659200.0
1025,2147,402,1445659200.0
1026,2149,336,1445659200.0
1027,2154,383,1446004800.0
1028,2155,99,1446004800.0
1029,2156,261,1446004800.0
